Stock_NO,종목명,상장주식수(주),Market
3060,슈넬생명과학,"80,883,447",kospi
53210,스카이라이프,"47,821,966",kospi
16590,신대양제지,"3,869,237",kospi
29530,신도리코,"10,080,029",kospi
4970,신라교역,"16,000,000",kospi
11930,신성솔라에너지,"172,993,713",kospi
5390,신성통상,"143,708,390",kospi
4170,신세계,"9,845,181",kospi
35510,신세계 I&C,"1,720,000",kospi
34300,신세계건설,"4,000,000",kospi
31430,신세계인터내셔날,"7,140,000",kospi
31440,신세계푸드,"3,872,480",kospi
6880,신송홀딩스,"11,828,858",kospi
5800,신영와코루,"900,000",kospi
1720,신영증권,"9,386,237",kospi
9270,신원,"63,303,370",kospi
2700,신일산업,"71,047,521",kospi
19170,신풍제약,"52,984,990",kospi
2870,신풍제지,"3,495,870",kospi
5450,신한,"7,022,839",kospi
55550,신한지주,"474,199,587",kospi
1770,신화실업,"1,214,878",kospi
4080,신흥,"9,600,000",kospi
102280,쌍방울,"129,124,213",kospi
47400,쌍용머티리얼,"42,000,000",kospi
3410,쌍용양회,"87,478,869",kospi
3620,쌍용차,"137,220,096",kospi
4770,써니전자,"29,976,480",kospi
4920,씨아이테크,"44,787,538",kospi
112610,씨에스윈드,"17,285,715",kospi
8700,아남전자,"77,124,820",kospi
2790,아모레G,"82,458,180",kospi
90430,아모레퍼시픽,"58,458,490",kospi
90370,아비스타,"61,443,334",kospi
2030,아세아,"2,191,024",kospi
183190,아세아시멘트,"3,295,809",kospi
2310,아세아제지,"8,956,502",kospi
83570,아시아10호,"2,607,905",kospi
83580,아시아11호,"2,607,905",kospi
83590,아시아12호,"2,607,905",kospi
83600,아시아13호,"2,607,905",kospi
83610,아시아14호,"1,946,194",kospi
83620,아시아15호,"1,946,583",kospi
20560,아시아나항공,"205,235,294",kospi
122900,아이마켓코리아,"35,943,340",kospi
10780,아이에스동서,"30,718,521",kospi
39570,아이콘트롤스,"8,230,000",kospi
33660,아주캐피탈,"57,545,890",kospi
101140,아티스,"20,027,281",kospi
1780,알루코,"74,524,102",kospi
2250,알보젠코리아,"11,857,922",kospi
7630,암니스,"16,981,103",kospi
161000,애경유화,"32,040,000",kospi
11090,에넥스,"59,991,641",kospi
5850,에스엘,"33,865,090",kospi
12750,에스원,"37,999,178",kospi
23960,에쓰씨엔지니어링,"10,176,982",kospi
78520,에이블씨엔씨,"15,378,717",kospi
15260,에이엔피,"48,684,868",kospi
36570,엔씨소프트,"21,929,022",kospi
138250,엔에스쇼핑,"3,369,600",kospi
85310,엔케이,"48,983,352",kospi
69640,엠케이트렌드,"12,909,322",kospi
14440,영보화학,"20,000,000",kospi
111770,영원무역,"44,311,468",kospi
9970,영원무역홀딩스,"13,635,592",kospi
3520,영진약품,"182,892,731",kospi
670,영풍,"1,842,040",kospi
6740,영풍제지,"22,200,000",kospi
12280,영화금속,"45,451,006",kospi
12160,영흥철강,"85,826,509",kospi
15360,예스코,"6,000,000",kospi
7310,오뚜기,"3,440,000",kospi
2630,오리엔트바이오,"161,060,844",kospi
1800,오리온,"6,008,435",kospi
10600,와이비로드,"15,249,884",kospi
70960,용평리조트,"48,133,333",kospi
4720,우리들제약,"10,055,292",kospi
118000,우리들휴브레인,"18,429,147",kospi
30,우리은행,"676,000,000",kospi
10050,우리종금,"474,203,406",kospi
6980,우성사료,"30,900,000",kospi
17370,우신시스템,"18,314,054",kospi
105840,우진,"17,360,000",kospi
49800,우진플라임,"10,000,000",kospi
16880,웅진,"72,677,207",kospi
95720,웅진씽크빅,"34,621,165",kospi
103130,웅진에너지,"22,889,719",kospi
5820,원림,"2,200,000",kospi
8600,윌비스,"57,000,000",kospi
33270,유나이티드제약,"16,207,322",kospi
14830,유니드,"8,889,843",kospi
910,유니온,"15,611,619",kospi
11330,유니켐,"50,980,259",kospi
77500,유니퀘스트,"27,049,809",kospi
2920,유성기업,"25,947,500",kospi
700,유수홀딩스,"26,041,812",kospi
3470,유안타증권,"199,577,435",kospi
11690,유양디앤유,"46,144,269",kospi
72130,유엔젤,"13,195,454",kospi
220,유유제약,"6,161,406",kospi
1200,유진투자증권,"96,866,418",kospi
100,유한양행,"11,665,896",kospi
3460,유화증권,"11,340,483",kospi
8730,율촌화학,"24,800,000",kospi
8250,이건산업,"9,373,525",kospi
25820,이구산업,"33,442,000",kospi
214320,이노션,"20,000,000",kospi
139480,이마트,"27,875,819",kospi
7660,이수페타시스,"41,268,398",kospi
5950,이수화학,"15,278,000",kospi
15020,이스타코,"42,851,600",kospi
93230,이아이디,"72,690,174",kospi
74610,이엔쓰리,"18,039,487",kospi
102460,이연제약,"12,900,000",kospi
84680,이월드,"90,509,897",kospi
760,이화산업,"2,800,000",kospi
14990,인디에프,"58,932,995",kospi
6490,인스코비,"84,826,521",kospi
23800,인지컨트롤스,"15,160,128",kospi
34590,인천도시가스,"4,374,754",kospi
129260,인터지스,"29,747,874",kospi
23810,인팩,"10,000,000",kospi
249420,일동제약,"17,845,253",kospi
230,일동홀딩스,"7,222,812",kospi
13360,일성건설,"5,340,364",kospi
3120,일성신약,"2,660,000",kospi
3200,일신방직,"2,400,000",kospi
7110,일신석재,"77,456,610",kospi
7570,일양약품,"19,045,984",kospi
8500,일정실업,"1,200,000",kospi
81000,일진다이아,"11,277,975",kospi
20760,일진디스플,"28,314,440",kospi
20150,일진머티리얼즈,"39,200,000",kospi
103590,일진전기,"37,080,390",kospi
15860,일진홀딩스,"49,347,483",kospi
226320,잇츠스킨,"17,471,300",kospi
33240,자화전자,"17,900,000",kospi
950,전방,"1,680,000",kospi
194370,제이에스코퍼레이션,"13,157,051",kospi
25620,제이준,"57,606,071",kospi
30000,제일기획,"115,041,225",kospi
2620,제일약품,"14,850,000",kospi
1560,제일연마,"10,000,000",kospi
6220,제주은행,"22,128,774",kospi
89590,제주항공,"26,294,258",kospi
4910,조광페인트,"12,800,000",kospi
4700,조광피혁,"6,649,138",kospi
1550,조비,"4,391,637",kospi
480,조선내화,"4,000,000",kospi
120030,조선선재,"1,257,651",kospi
18470,조일알미늄,"69,600,000",kospi
2600,조흥,"600,000",kospi
185750,종근당,"9,409,050",kospi
63160,종근당바이오,"5,229,489",kospi
1630,종근당홀딩스,"5,009,861",kospi
44380,주연테크,"58,078,511",kospi
900050,중국원양자원,"97,859,369",kospi
13870,지엠비코리아,"19,072,280",kospi
71320,지역난방공사,"11,578,744",kospi
10580,지코,"45,004,179",kospi
35000,지투알,"16,567,409",kospi
88790,진도,"12,447,744",kospi
3780,진양산업,"13,000,000",kospi
10640,진양폴리,"10,000,000",kospi
100250,진양홀딩스,"55,895,292",kospi
51630,진양화학,"12,000,000",kospi
11000,진원생명과학,"16,150,563",kospi
2780,진흥기업,"152,562,189",kospi
9310,참엔지니어링,"49,189,958",kospi
650,천일고속,"1,429,220",kospi
12600,청호컴넷,"8,376,352",kospi
33250,체시스,"24,000,000",kospi
6380,카프로,"40,000,000",kospi
29460,케이씨텍,"33,393,384",kospi
145270,케이탑리츠,"41,333,150",kospi
58860,케이티스,"34,802,000",kospi
900140,코라오홀딩스,"47,869,508",kospi
90970,코리아01호,"2,191,080",kospi
90980,코리아02호,"2,191,080",kospi
90990,코리아03호,"2,191,080",kospi
91000,코리아04호,"2,191,080",kospi
7810,코리아써키트,"23,620,751",kospi
152330,코리아오토글라스,"20,000,000",kospi
3690,코리안리,"120,369,116",kospi
192820,코스맥스,"10,049,509",kospi
44820,코스맥스비티아이,"9,603,921",kospi
5070,코스모신소재,"15,077,968",kospi
5420,코스모화학,"13,328,444",kospi
71950,코아스,"30,907,210",kospi
2020,코오롱,"12,061,185",kospi
3070,코오롱글로벌,"16,570,088",kospi
144620,코오롱머티리얼,"9,000,000",kospi
120110,코오롱인더,"25,151,578",kospi
138490,코오롱플라스틱,"38,000,000",kospi
21240,코웨이,"76,380,513",kospi
31820,콤텍시스템,"31,851,466",kospi
192400,쿠쿠전자,"9,803,360",kospi
5740,크라운제과,"14,735,240",kospi
39490,키움증권,"22,099,740",kospi
12170,키위미디어그룹,"137,229,808",kospi
15890,태경산업,"29,228,750",kospi
6890,태경화학,"11,600,000",kospi
3240,태광산업,"1,113,400",kospi
11280,태림포장,"70,805,940",kospi
4100,태양금속,"36,700,000",kospi
9410,태영건설,"76,400,000",kospi
1420,태원물산,"7,600,000",kospi
7980,태평양물산,"43,269,712",kospi
78000,텔코웨어,"9,702,706",kospi
214420,토니모리,"17,640,000",kospi
140890,트러스제7호,"9,686,000",kospi
19180,티에이치엔,"18,000,000",kospi
4870,티웨이홀딩스,"16,250,814",kospi
134790,팀스,"2,000,000",kospi
5690,파미셀,"58,382,610",kospi
36580,팜스코,"36,727,943",kospi
28670,팬오션,"534,396,771",kospi
10820,퍼스텍,"46,764,840",kospi
16800,퍼시스,"11,500,000",kospi
1020,페이퍼코리아,"224,367,056",kospi
90080,평화산업,"37,403,844",kospi
10770,평화홀딩스,"14,625,466",kospi
58430,포스코강판,"6,000,000",kospi
47050,포스코대우,"113,876,291",kospi
17810,풀무원,"3,809,095",kospi
103140,풍산,"28,024,278",kospi
5810,풍산홀딩스,"7,835,167",kospi
33180,필룩스,"25,819,408",kospi
86790,하나금융지주,"296,003,062",kospi
99340,하나니켈1호,"22,756,200",kospi
99350,하나니켈2호,"3,284,000",kospi
39130,하나투어,"11,616,185",kospi
172580,하이골드12호,"13,044,500",kospi
153360,하이골드3호,"16,149,790",kospi
159650,하이골드8호,"14,905,929",kospi
71090,하이스틸,"1,999,944",kospi
19490,하이트론,"5,530,735",kospi
80,하이트진로,"70,133,611",kospi
140,하이트진로홀딩스,"23,206,765",kospi
152550,한국ANKOR유전,"70,020,000",kospi
36460,한국가스공사,"92,313,000",kospi
5430,한국공항,"3,166,355",kospi
71050,한국금융지주,"55,725,992",kospi
10040,한국내화,"22,863,632",kospi
25540,한국단자,"10,415,000",kospi
4090,한국석유,"655,200",kospi
2960,한국쉘석유,"1,300,000",kospi
2000,한국유리,"10,079,660",kospi
123890,한국자산신탁,"85,000,000",kospi
15760,한국전력,"641,964,077",kospi
6200,한국전자홀딩스,"46,803,136",kospi
2300,한국제지,"5,004,949",kospi
23350,한국종합기술,"10,950,000",kospi
25890,한국주강,"11,309,259",kospi
970,한국주철관,"22,800,500",kospi
104700,한국철강,"9,210,000",kospi
17960,한국카본,"43,960,757",kospi
161890,한국콜마,"21,100,151",kospi
24720,한국콜마홀딩스,"16,748,936",kospi
161390,한국타이어,"123,875,069",kospi
240,한국타이어월드와이드,"93,020,173",kospi
34830,한국토지신탁,"252,489,230",kospi
7280,한국특수형강,"18,020,878",kospi
168490,한국패러랠,"80,020,000",kospi
10100,한국프랜지,"6,090,084",kospi
47810,한국항공우주,"97,475,107",kospi
123690,한국화장품,"16,068,000",kospi
3350,한국화장품제조,"4,532,000",kospi
11500,한농화성,"15,637,042",kospi
2390,한독,"12,594,080",kospi
14790,한라,"36,494,942",kospi
60980,한라홀딩스,"10,802,691",kospi
53690,한미글로벌,"10,855,588",kospi
42700,한미반도체,"25,432,841",kospi
8930,한미사이언스,"58,290,309",kospi
128940,한미약품,"10,435,111",kospi
9240,한샘,"23,533,928",kospi
20000,한섬,"24,630,000",kospi
3680,한성기업,"5,477,951",kospi
105630,한세실업,"40,000,000",kospi
16450,한세예스24홀딩스,"40,000,000",kospi
10420,한솔PNS,"20,493,012",kospi
9180,한솔로지스틱스,"16,477,425",kospi
7190,한솔아트원제지,"38,478,081",kospi
213500,한솔제지,"20,136,509",kospi
14680,한솔케미칼,"11,295,195",kospi
4710,한솔테크닉스,"22,109,878",kospi
4150,한솔홀딩스,"46,359,871",kospi
